ID;Time;Line#;ms%100 ;FX ;FY ;FZ;AX ;AY;AZ;GX;GY;GZ;Tbr;Tcl;MX;MY;MZ;Vin
1;1538491140;1;820;1411;1518;790;240;360;16696;56;7;0;2764;1490;-137;1176;-494;2614
1;1538491140;2;830;1728;1765;1291;208;272;16696;58;7;3;2763;1745;-131;1163;-490;2613
1;1538491140;3;840;1714;1751;1423;184;272;16488;62;9;6;2760;1720;-138;1166;-493;2613
1;1538491140;4;850;1714;1753;1517;32;112;16608;62;8;5;2762;1644;-135;1156;-488;2614
1;1538491140;5;860;1698;1725;1516;24;232;16496;60;8;5;2764;1664;-132;1167;-498;2614
1;1538491140;6;870;1697;1715;1457;120;272;16744;61;11;9;2763;1763;-137;1172;-487;2614
1;1538491140;7;880;1692;1688;1481;0;104;16000;59;7;2;2762;1700;-131;1166;-495;2614
1;1538491140;8;890;1694;1695;1553;136;240;16400;56;10;3;2764;1767;-126;1175;-500;2614
1;1538491140;9;900;1701;1679;1555;216;216;16840;54;9;5;2764;1767;-143;1168;-495;2614
1;1538491140;10;910;1715;1702;1583;432;312;16976;56;3;7;2763;1738;-140;1163;-486;2614
1;1538491140;11;920;1586;1708;1550;216;216;16496;62;6;6;2765;1714;-143;1163;-495;2614
1;1538491140;12;930;1736;1713;1571;-8;-24;16448;61;5;-1;2766;1748;-141;1164;-503;2614
1;1538491140;13;940;1718;1713;1550;160;240;16616;61;11;6;2767;1664;-134;1162;-496;2614
1;1538491140;14;950;1718;1716;1550;384;280;17120;60;2;10;2767;1754;-131;1163;-490;2614
1;1538491140;15;960;1718;1682;1554;80;160;16688;56;4;5;2762;1715;-134;1172;-489;2614
1;1538491140;16;970;1741;1723;1584;-80;144;16384;55;5;8;2764;1714;-134;1174;-496;2614
1;1538491140;17;980;1738;1722;1531;-8;152;16480;63;4;-4;2765;1688;-135;1175;-497;2614
1;1538491140;18;990;1752;1724;1561;64;152;16560;56;7;2;2766;1742;-138;1163;-486;2614
1;1538491141;19;0;1752;1724;1561;184;168;16840;61;8;4;2764;1706;-137;1179;-492;2614
1;1538491141;20;10;1752;1734;1565;56;192;16664;62;5;7;2768;1722;-144;1160;-492;2614
1;1538491141;21;20;1716;1681;1547;-24;120;16328;59;5;3;2767;1722;-137;1174;-496;2614
1;1538491141;22;30;1716;1722;1547;184;96;16536;59;3;1;2768;1722;-143;1168;-486;2614
1;1538491141;23;40;1681;1722;1536;8;144;16584;58;10;1;2764;1663;-133;1166;-495;2614
